Archivage_id,Date_id,Document_id,Media_id,Client_id,Produit_id,Nb_documents_archivés,Taux_digitalisation,Temps_moyen_acces_documents,Taux_indexation_correcte,Nb_consultations_archives,Nb_telechargement
2905,86,27,9,70,39,871,52.94,7.55,95.87,428,67
2906,91,59,9,50,42,134,84.04,18.64,90.91,386,284
2907,98,75,6,51,4,748,90.33,15.93,82.34,164,205
2908,17,13,8,43,8,92,86.39,4.46,92.39,119,239
2909,12,2,2,120,49,950,68.65,15.57,84.2,454,274
2910,19,28,2,18,42,344,59.24,5.16,91.64,355,114
2911,4,25,2,157,26,495,74.75,14.23,97.25,78,48
2912,12,13,11,111,46,830,67.22,19.79,87.97,294,215
2913,60,38,5,115,26,929,66.02,16.31,93.52,486,90
2914,59,61,10,37,9,104,62.39,17.61,97.92,264,276
2915,1,63,8,66,20,586,70.8,0.66,84.11,431,3
2916,6,34,10,199,41,912,97.83,9.45,98.05,118,121
2917,26,21,8,102,17,40,99.02,8.84,96.88,483,121
2918,88,11,8,6,2,149,90.33,3.79,81.83,295,195
2919,13,42,9,142,5,323,59.33,0.53,96.29,265,4
2920,74,41,8,25,43,747,79.8,9.21,85.34,291,188
2921,50,12,3,18,30,6,61.81,11.23,86.5,447,106
2922,90,15,9,143,1,656,54.03,4.41,97.89,189,158
2923,22,22,5,9,8,702,96.29,15.83,98.87,244,248
2924,39,66,8,131,41,150,95.51,15.72,86.67,2,144
2925,92,33,4,53,7,255,90.58,10.39,94.24,173,180
2926,68,42,10,163,25,148,90.34,18.36,94.8,232,210
2927,13,49,11,55,49,880,81.71,19.06,86.53,467,267
2928,81,67,9,139,6,368,69.88,13.44,81.24,343,167
2929,69,76,11,31,22,8,60.17,12.55,82.96,278,137
2930,65,18,11,89,17,433,53.43,10.88,97.84,65,292
2931,88,67,7,171,38,867,55.79,4.98,91.95,440,45
2932,51,28,9,176,14,629,53.8,10.18,91.19,204,85
2933,88,26,4,116,19,545,87.97,10.8,81.0,103,272
2934,72,9,4,83,21,703,92.68,5.56,81.57,258,1
2935,6,14,6,99,11,730,58.01,15.55,84.84,122,289
2936,86,41,10,136,9,185,70.52,13.65,92.57,499,47
2937,78,36,2,118,44,400,64.63,16.58,83.72,435,74
2938,25,61,7,170,1,812,75.32,13.0,80.6,334,285
2939,48,35,10,88,19,455,61.53,8.44,85.32,426,297
2940,33,20,5,57,27,14,63.45,2.57,89.96,358,148
2941,87,65,5,30,10,999,64.19,18.62,87.17,239,185
2942,95,31,4,99,37,482,90.44,7.95,99.98,25,122
2943,23,28,8,60,27,977,92.45,6.26,93.91,55,287
2944,63,15,7,55,32,376,79.69,4.28,98.5,25,85
2945,54,15,6,180,48,802,93.54,14.3,94.15,411,74
2946,39,74,9,39,40,273,86.34,16.4,91.51,224,278
2947,74,4,6,4,43,444,54.17,3.95,92.33,93,54
2948,48,44,4,167,26,89,55.87,10.1,94.26,125,141
2949,75,65,9,86,49,918,68.75,19.74,98.75,403,147
2950,27,27,11,172,24,370,55.56,11.96,91.55,466,240
2951,24,25,7,139,19,68,73.96,7.5,94.28,350,106
2952,94,73,11,23,26,571,85.07,6.05,80.6,327,221
2953,49,28,4,126,21,827,74.01,13.01,99.76,309,128
2954,21,19,10,60,11,308,64.73,0.54,84.79,137,129
2955,37,12,3,54,29,957,92.05,8.34,92.73,342,115
2956,46,73,8,121,43,671,64.26,13.19,96.64,275,208
2957,41,80,9,147,30,284,93.58,1.69,85.79,466,14
2958,36,80,3,59,25,325,82.33,9.07,89.24,440,145
2959,36,15,5,133,19,581,67.76,5.13,94.21,476,193
2960,96,47,7,83,45,862,99.38,10.91,85.72,373,160
2961,70,6,9,193,19,282,63.86,8.45,97.61,206,193
2962,53,78,3,51,47,414,64.9,11.11,92.54,339,112
2963,23,38,7,20,45,960,56.74,4.89,92.01,120,189
2964,60,62,2,28,49,439,66.47,3.81,98.15,420,16
2965,33,37,4,159,37,102,88.68,7.86,88.72,127,122
2966,44,29,6,103,33,999,77.14,2.88,90.85,74,56
2967,65,4,5,31,21,351,84.57,4.19,88.68,299,215
2968,3,8,2,24,33,536,90.86,14.35,85.4,324,43
2969,8,69,5,99,1,833,51.6,7.57,91.92,382,266
2970,45,21,4,109,50,539,74.02,11.62,85.76,459,76
2971,97,16,9,184,30,403,61.84,1.33,95.34,309,38
2972,23,75,7,117,8,62,61.12,12.06,89.07,78,239
2973,19,35,2,101,13,54,64.93,11.93,87.42,245,157
2974,97,15,5,21,23,527,60.45,2.16,93.83,131,152
2975,31,14,5,57,21,389,97.13,10.79,89.67,164,158
2976,26,37,6,65,11,459,67.17,2.79,99.32,117,80
2977,32,68,5,41,4,657,58.58,17.71,81.13,64,179
2978,17,77,11,86,16,559,93.04,9.67,82.9,347,175
2979,46,20,3,97,36,194,90.72,5.79,84.47,117,169
2980,1,30,5,192,6,153,77.71,7.81,93.88,108,147
2981,87,46,6,125,9,465,76.59,9.53,86.31,145,204
2982,82,59,8,129,28,478,76.48,17.3,88.84,458,199
2983,17,32,2,85,26,487,52.23,7.11,93.05,297,61
2984,79,8,8,136,20,130,54.32,3.1,87.39,357,5
2985,69,15,6,111,47,421,76.39,10.33,99.56,440,55
2986,68,32,8,150,7,751,90.49,11.31,88.97,197,218
2987,84,66,3,136,36,618,66.25,10.57,88.98,338,228
2988,74,75,11,112,16,117,62.38,12.71,93.34,47,123
2989,38,21,5,192,11,569,71.59,19.12,97.68,306,247
2990,4,44,11,175,31,528,82.0,19.26,94.76,351,123
2991,79,64,9,21,16,555,62.34,16.54,83.19,51,199
2992,80,72,8,119,18,512,80.07,13.83,86.78,484,210
2993,53,29,2,95,36,64,82.95,16.22,93.6,125,222
2994,74,50,11,151,29,580,92.07,4.85,88.44,412,219
2995,31,62,2,189,47,861,64.05,11.68,87.35,316,170
2996,17,50,11,23,44,207,77.85,17.12,99.04,458,43
2997,54,14,7,160,43,361,70.56,4.97,96.58,8,132
2998,6,63,11,159,3,250,50.26,4.15,95.56,450,140
2999,42,36,11,6,33,956,53.51,10.37,94.46,77,113
3000,56,27,7,163,44,539,68.2,19.85,91.97,428,30
3001,68,42,7,6,14,940,65.58,16.03,96.82,91,262
3002,26,25,11,103,12,316,90.48,6.26,84.62,444,5
3003,49,48,4,103,48,211,60.13,13.96,92.16,160,226
3004,51,41,10,128,26,298,80.72,7.01,94.27,227,180
3005,93,4,10,13,15,650,75.27,3.78,88.77,302,176
3006,70,29,6,148,24,336,88.92,12.84,81.34,362,66
3007,8,45,10,64,36,658,76.97,8.78,82.14,39,283
3008,19,33,9,39,47,377,78.14,0.98,91.38,439,222
3009,5,29,7,26,17,832,50.72,7.11,98.34,183,184
3010,88,39,2,41,33,74,96.23,17.97,94.62,106,107
3011,98,68,2,44,33,19,60.33,15.93,99.86,183,130
3012,49,37,7,80,32,935,65.03,12.42,85.76,243,259
3013,77,36,5,116,42,688,68.26,18.86,82.45,222,264
3014,51,45,4,4,37,734,93.9,9.89,90.7,200,140
3015,74,38,5,95,35,987,68.45,6.34,91.16,238,212
3016,80,26,6,4,13,955,91.65,2.43,83.36,266,116
3017,72,61,10,20,43,445,76.26,2.55,93.84,262,35
3018,79,44,8,86,48,860,99.31,11.12,85.61,148,5
3019,71,65,8,187,38,476,68.47,17.9,96.2,319,96
3020,7,27,8,10,35,748,59.12,18.36,81.0,78,78
3021,76,24,4,54,50,128,76.69,18.47,87.39,454,83
3022,15,2,5,68,45,120,64.44,9.37,99.44,265,158
3023,22,32,8,40,27,121,69.4,14.53,94.95,115,218
3024,98,36,6,34,1,583,68.8,2.33,87.02,32,134
3025,8,47,4,91,39,619,59.82,15.81,80.26,2,149
3026,100,59,2,134,7,247,52.42,7.91,82.27,249,127
3027,89,69,9,190,12,42,83.77,6.67,84.53,213,242
3028,83,26,5,86,32,613,67.64,10.19,98.06,149,52
3029,32,12,4,181,43,337,97.79,6.14,86.7,198,294
3030,58,55,6,55,15,698,56.86,9.85,82.87,273,79
3031,3,10,5,88,6,271,55.67,14.4,99.3,9,78
3032,34,39,7,18,1,376,81.31,9.79,98.01,123,169
3033,3,35,8,31,45,842,64.73,15.62,87.18,490,111
3034,57,4,9,94,11,548,99.92,5.71,93.87,347,164
3035,1,9,4,82,13,288,62.85,10.58,94.02,261,49
3036,83,65,6,103,28,551,99.75,12.15,84.91,483,10
3037,29,41,3,86,41,841,53.66,16.73,91.42,398,27
3038,85,13,6,6,38,868,67.45,13.78,92.51,302,247
3039,21,16,3,104,48,741,74.41,4.19,98.51,150,60
3040,72,26,2,49,44,600,77.68,12.26,80.89,259,37
3041,64,25,4,129,33,127,91.19,15.42,80.83,315,231
3042,97,2,5,187,27,409,75.41,8.76,88.3,495,204
3043,56,35,6,187,4,249,96.79,16.14,93.57,130,235
3044,44,62,6,31,29,292,98.71,2.26,93.84,84,237
3045,8,71,9,98,44,566,79.04,11.75,84.67,227,77
3046,15,51,11,37,20,939,63.29,2.72,82.46,435,32
3047,9,20,10,58,42,866,66.12,11.26,98.39,135,239
3048,88,63,3,184,25,177,89.8,13.49,97.15,199,147
3049,17,34,11,91,21,14,57.51,15.35,81.14,311,278
3050,5,11,7,89,14,751,51.02,15.74,86.38,325,241
3051,62,9,10,100,7,356,52.47,14.78,90.78,399,184
3052,11,44,6,150,11,237,93.77,11.83,86.33,192,131
3053,68,67,10,168,10,1000,87.24,1.44,82.66,87,255
3054,83,44,7,50,12,417,59.9,5.93,85.74,125,15
3055,81,12,7,18,36,253,55.71,3.8,97.15,457,210
3056,24,35,3,151,4,175,60.41,11.04,90.89,345,263
3057,32,44,3,106,6,384,97.42,9.58,95.59,35,2
3058,21,60,6,141,5,800,80.13,3.28,96.8,0,143
3059,12,77,2,121,12,888,93.99,4.22,86.45,234,171
3060,79,42,10,115,46,170,79.33,14.82,99.95,294,12
3061,29,47,10,102,5,771,94.33,16.14,85.42,28,299
3062,78,13,8,124,42,273,64.02,1.5,96.63,31,298
3063,70,18,6,14,33,791,54.03,19.84,93.54,239,251
3064,88,20,3,188,30,288,82.78,15.77,87.26,45,80
3065,95,53,5,172,10,491,97.53,10.01,82.63,123,30
3066,30,30,2,145,1,411,93.7,14.11,93.26,202,295
3067,15,50,7,114,10,274,98.8,15.26,91.57,432,29
3068,77,6,5,135,50,204,57.49,19.9,87.3,4,136
3069,20,71,6,74,24,866,85.75,18.4,80.22,298,57
3070,6,30,3,45,27,106,82.22,15.98,94.74,320,247
3071,16,41,3,129,45,59,84.23,9.35,96.37,430,240
3072,63,49,10,196,31,274,76.29,2.54,98.24,255,91
3073,70,32,5,181,36,73,91.85,12.73,91.41,345,14
3074,75,27,10,158,13,424,77.68,15.17,82.25,114,183
3075,91,59,6,45,25,852,72.37,8.45,83.42,329,42
3076,98,12,2,118,46,760,55.95,10.66,85.11,38,39
3077,96,37,10,77,36,495,68.13,9.03,96.36,72,212
3078,50,65,11,83,34,499,91.12,3.76,84.8,182,49
3079,59,71,4,160,5,179,63.89,19.17,88.04,346,176
3080,30,60,10,19,14,659,97.0,8.39,84.52,76,139
3081,27,70,9,127,26,960,70.56,15.59,80.65,334,147
3082,27,3,10,151,2,190,76.79,13.58,92.66,143,200
3083,100,44,8,150,12,977,89.05,1.52,94.51,262,30
3084,97,60,10,28,43,325,79.29,16.62,89.78,340,299
3085,80,31,10,93,47,572,87.68,2.3,86.51,221,175
3086,86,59,5,112,23,293,55.48,10.72,92.3,469,147
3087,66,25,7,158,22,328,92.26,16.23,85.87,473,111
3088,19,21,4,41,19,424,73.54,15.18,91.77,151,253
3089,30,70,3,129,23,770,87.68,19.3,88.8,400,243
3090,47,55,9,87,44,160,62.97,14.96,81.72,99,198
3091,40,36,11,199,47,467,77.64,5.93,83.51,399,1
3092,84,2,5,164,19,648,85.22,8.67,81.01,119,278
3093,13,57,9,4,41,313,89.79,10.59,88.54,91,80
3094,100,31,9,37,50,177,66.51,8.47,98.08,268,171
3095,17,2,4,109,3,296,64.44,2.47,90.09,300,290
3096,45,58,9,177,23,218,80.1,14.48,98.93,191,187
3097,35,46,10,76,5,410,70.5,12.45,98.89,144,119
3098,44,72,2,58,20,365,99.85,5.13,93.5,204,64
3099,57,13,2,4,33,678,69.63,3.59,94.93,350,277
3100,22,19,11,73,29,30,87.61,18.64,83.39,424,232
3101,57,56,2,184,17,351,57.92,7.03,89.78,467,68
3102,41,63,10,117,48,752,71.73,5.85,89.43,391,223
3103,31,47,9,81,5,320,92.66,5.38,98.32,75,129
3104,22,8,11,153,38,160,61.02,15.54,87.97,454,99
3105,3,80,7,149,29,822,73.61,6.15,86.22,179,275
3106,48,50,7,191,33,332,90.18,17.81,98.58,326,262
3107,87,66,9,23,35,600,93.74,10.91,99.09,0,134
3108,43,73,7,131,6,324,93.29,10.13,93.65,392,188
3109,81,32,6,174,48,411,98.68,9.76,97.94,255,183
3110,73,4,9,60,2,302,80.59,18.51,96.58,68,28
3111,49,48,4,110,45,137,82.72,18.17,98.34,319,6
3112,97,24,6,149,21,360,76.26,10.07,83.53,107,31
3113,42,33,4,35,10,941,68.7,5.57,94.09,188,164
3114,97,28,11,24,12,103,59.12,19.5,95.22,68,179
3115,37,42,9,46,8,746,66.33,10.37,80.67,3,65
3116,8,12,9,80,30,794,74.24,19.18,82.98,377,23
3117,37,49,8,64,14,353,82.87,15.85,81.39,30,291
3118,55,50,2,116,44,338,80.56,8.43,87.23,26,125
3119,34,40,4,115,29,836,54.32,15.97,98.37,205,241
3120,18,58,9,182,13,742,69.09,5.29,95.25,320,221
3121,40,67,6,54,2,116,98.87,11.41,80.38,328,18
3122,75,4,2,75,43,119,80.18,13.94,93.12,109,265
3123,10,78,7,155,22,591,98.51,9.01,86.8,73,54
3124,1,67,2,150,31,52,81.97,10.53,98.17,129,67
3125,26,5,2,61,15,361,58.99,9.59,82.77,246,175
3126,65,66,5,67,41,626,95.13,0.93,91.15,411,25
3127,6,63,10,15,23,793,70.03,9.6,100.0,104,235
3128,38,53,7,190,46,622,94.23,16.63,90.73,87,52
3129,98,51,5,67,35,766,84.92,2.51,86.04,185,193
3130,12,53,7,68,47,280,91.6,16.21,84.34,20,114
3131,42,27,4,58,47,556,82.64,3.63,94.49,476,287
3132,33,70,2,100,48,309,56.53,10.04,98.39,496,112
3133,86,49,7,52,6,681,84.64,0.73,85.97,56,53
3134,22,55,8,29,33,830,74.05,1.25,89.02,278,33
3135,67,3,7,9,5,212,93.17,4.36,97.95,264,10
3136,3,62,7,80,10,528,92.65,3.7,94.66,116,24
3137,54,47,7,114,3,27,54.28,2.85,87.92,45,72
3138,9,55,5,173,21,80,79.58,18.38,81.48,453,112
3139,56,60,9,162,46,96,61.03,6.94,80.68,302,195
3140,61,18,9,108,28,872,63.1,19.18,82.94,479,46
3141,93,39,7,150,47,524,85.04,16.0,99.18,310,210
3142,10,22,11,11,40,964,71.95,19.36,91.58,431,239
3143,39,1,5,195,28,402,58.66,13.52,81.96,326,211
3144,46,65,9,96,35,302,62.37,8.52,93.32,6,49
3145,22,33,10,116,17,439,50.36,2.14,98.9,323,206
3146,82,54,5,66,36,149,84.3,4.9,87.31,101,125
3147,74,70,7,139,18,64,87.88,1.55,80.52,58,300
3148,84,30,2,37,11,287,78.67,10.26,83.56,99,9
3149,30,57,7,50,12,466,92.56,8.8,92.52,162,4
3150,7,62,6,134,50,980,77.98,3.98,84.35,157,290
3151,100,25,9,179,25,66,87.18,12.95,80.22,268,117
3152,85,54,5,159,49,368,56.95,5.06,99.9,318,273
3153,56,59,4,198,36,550,86.68,17.49,98.44,62,52
3154,68,20,7,86,47,977,67.93,4.23,85.67,289,229
3155,58,62,9,60,3,947,52.76,0.84,82.34,387,285
3156,54,5,7,38,3,91,69.61,0.64,80.28,269,106
3157,79,62,6,8,13,704,65.65,6.72,83.34,335,141
3158,97,12,4,13,31,170,83.36,19.04,98.02,374,2
3159,90,22,11,109,26,870,82.74,19.74,95.61,210,159
3160,8,69,4,111,7,34,82.94,18.0,85.77,148,238
3161,100,4,7,193,1,648,57.25,13.26,82.72,163,99
3162,85,55,10,98,39,9,86.86,4.39,81.5,253,221
3163,68,7,6,67,15,87,53.64,10.53,93.76,420,286
3164,5,73,9,154,14,933,99.8,14.3,88.08,85,20
3165,72,61,3,49,38,826,63.35,12.92,84.39,133,75
3166,85,7,5,97,1,832,83.11,10.95,95.31,41,99
3167,47,35,2,50,15,850,62.13,17.86,88.68,87,114
3168,25,59,6,6,3,995,78.38,0.8,93.1,472,144
3169,97,42,5,134,25,838,73.27,5.92,88.35,35,282
3170,92,34,2,58,39,972,75.77,7.69,86.59,205,123
3171,77,42,7,18,1,171,52.75,13.63,94.39,288,130
3172,71,2,2,156,11,680,50.76,15.27,93.21,384,232
3173,26,65,2,91,24,687,58.28,11.74,87.57,352,251
3174,25,77,11,82,5,430,70.75,1.77,99.08,24,45
3175,60,4,5,32,37,5,51.26,15.29,97.4,302,222
3176,2,76,11,6,29,17,95.31,14.55,85.78,216,124
3177,99,76,6,120,45,681,65.93,2.61,99.3,418,0
3178,62,58,5,187,27,166,61.07,19.73,87.58,255,284
3179,72,70,11,181,17,340,74.56,4.76,91.15,7,239
3180,13,15,6,109,12,904,64.49,12.31,81.46,406,61
3181,45,17,5,159,5,612,80.99,7.65,81.1,88,52
3182,56,13,2,16,4,546,78.31,8.62,97.92,9,48
3183,17,78,2,126,22,230,56.71,11.35,83.02,500,134
3184,51,68,7,65,32,471,85.34,15.62,97.39,69,20
3185,26,18,2,170,6,550,57.42,15.82,87.78,316,150
3186,85,78,5,72,17,462,61.91,6.25,92.99,27,285
3187,27,46,4,32,45,955,83.3,4.8,80.45,426,97
3188,92,5,9,132,16,617,70.33,1.48,89.53,39,14
3189,34,50,2,200,23,536,69.89,18.16,87.67,25,61
3190,65,75,4,83,30,246,78.08,11.75,86.65,214,282
3191,65,46,7,95,30,979,51.67,5.41,81.9,52,208
3192,85,67,9,178,45,23,83.55,10.4,92.65,401,106
3193,59,56,9,24,38,577,71.92,16.87,83.46,291,95
3194,12,36,5,155,17,936,56.95,18.24,93.77,37,18
3195,9,31,6,65,43,408,79.58,13.2,91.68,171,205
3196,62,63,11,125,23,839,62.75,9.15,82.95,145,187
3197,23,53,9,82,1,461,87.64,16.1,89.99,212,108
3198,61,64,8,82,50,239,98.69,1.69,82.92,402,280
3199,66,49,3,44,1,570,68.49,9.82,92.0,414,119
3200,15,20,6,200,10,176,52.03,13.27,98.23,161,100
3201,4,38,9,17,12,115,55.7,19.97,92.86,127,123
3202,51,13,2,34,32,834,79.46,8.06,90.08,95,222
3203,5,6,10,149,38,143,56.5,1.26,94.62,421,289
3204,59,35,8,70,5,77,74.21,1.77,97.52,303,215
3205,79,28,5,177,21,470,83.23,6.27,95.38,230,245
3206,87,14,2,124,30,931,64.82,1.16,87.7,375,206
3207,74,37,3,56,14,383,92.16,13.01,96.67,204,136
3208,76,44,6,114,13,591,53.52,10.86,98.38,157,300
3209,43,29,7,10,15,371,75.16,7.06,97.98,287,219
3210,85,43,6,51,30,468,96.51,15.71,80.35,90,125
3211,63,40,8,193,24,393,95.07,7.03,92.65,310,218
3212,96,13,7,102,14,205,73.68,13.29,91.74,346,165
3213,76,10,8,100,45,10,87.78,9.39,91.62,395,230
3214,88,65,10,86,16,98,63.96,4.43,98.49,453,234
3215,73,4,2,128,47,634,79.06,10.18,99.14,100,80
3216,55,21,3,30,36,794,72.05,9.28,83.86,352,266
3217,70,3,6,102,34,671,98.77,4.35,84.22,390,300
3218,4,75,7,90,30,684,58.18,15.0,97.47,382,76
3219,78,34,7,7,9,356,65.17,18.48,87.31,288,36
3220,42,47,10,173,28,873,60.47,8.94,94.54,399,196
3221,22,30,7,151,14,699,61.77,1.59,88.61,270,262
3222,25,36,9,43,10,726,64.04,17.38,80.67,417,126
3223,22,37,3,15,14,863,94.96,6.53,87.8,19,47
3224,93,30,3,195,42,388,57.45,16.54,83.25,350,128
3225,50,61,5,194,13,397,65.68,13.6,98.91,364,107
3226,74,67,7,61,42,153,69.43,6.19,89.42,260,95
3227,6,6,6,167,36,505,64.98,16.47,86.81,175,55
3228,39,24,5,106,20,995,60.14,13.79,95.27,187,276
3229,63,5,2,199,44,631,59.21,1.65,80.68,226,156
3230,6,56,4,146,44,446,77.82,14.04,86.74,423,43
3231,86,79,6,33,32,902,66.74,11.6,88.95,21,204
3232,53,46,3,39,42,931,95.86,7.14,92.55,328,35
3233,95,46,8,83,29,976,53.11,13.51,92.04,443,241
3234,55,48,3,104,14,922,93.64,7.57,91.05,334,81
3235,31,35,9,19,20,81,71.46,9.87,87.35,136,68
3236,74,11,5,86,15,325,63.99,2.99,98.1,393,214
3237,4,3,6,71,47,745,95.32,7.3,81.24,425,222
3238,82,17,6,148,47,184,65.41,3.06,91.38,29,19
3239,10,30,5,77,32,785,82.64,8.21,98.92,283,66
3240,17,65,4,164,5,468,84.08,3.9,90.63,29,25
3241,6,23,4,141,3,489,82.88,7.17,97.09,20,71
3242,74,43,6,11,43,966,71.15,8.77,99.49,235,83
3243,29,26,6,170,39,55,88.73,3.79,83.5,3,40
3244,96,67,11,178,18,383,88.88,6.91,92.85,495,83
3245,25,48,11,45,7,814,95.39,6.61,86.59,380,248
3246,100,12,5,41,18,957,56.54,1.07,93.46,469,234
3247,95,27,8,9,3,118,72.39,16.98,81.99,139,263
3248,97,29,10,14,1,573,61.46,10.41,88.2,300,217
3249,9,48,5,7,29,459,98.49,5.81,93.58,96,41
3250,19,17,8,59,21,266,98.47,2.3,88.56,255,258
3251,93,36,6,116,35,407,97.57,6.16,92.39,319,227
3252,16,76,2,172,32,716,66.51,16.19,97.78,148,221
3253,23,10,5,71,20,428,98.21,19.06,94.48,246,261
3254,86,23,3,97,40,793,68.07,6.34,95.61,16,263
3255,51,63,8,8,18,252,81.09,14.4,95.04,276,283
3256,37,46,5,134,3,9,51.3,17.05,90.5,413,194
3257,33,78,3,92,50,250,88.99,8.4,85.19,200,177
3258,94,65,9,17,14,814,63.28,1.8,98.15,286,277
3259,3,16,8,68,40,2,94.08,10.45,86.34,322,215
3260,86,66,4,164,25,276,63.48,14.05,84.49,280,298
3261,67,19,3,9,32,369,56.4,4.5,92.59,432,190
3262,48,47,10,25,34,543,65.6,12.64,95.18,78,31
3263,63,41,2,153,16,47,78.1,1.74,98.52,207,20
3264,73,78,11,53,42,271,97.77,14.48,80.15,305,275
3265,98,39,3,165,16,147,99.94,1.88,96.38,139,66
3266,15,34,6,51,20,440,57.22,17.77,80.2,83,94
3267,36,24,8,186,2,767,93.96,17.93,90.75,415,126
3268,100,62,7,152,44,246,69.43,7.98,85.24,31,299
3269,68,10,3,198,20,916,98.6,8.87,93.48,416,210
3270,57,45,9,180,30,710,85.94,3.08,80.06,330,44
3271,69,49,4,47,1,575,70.85,0.91,81.61,270,251
3272,95,20,11,72,44,959,52.86,10.91,98.82,152,218
3273,98,57,7,23,5,967,69.78,0.62,93.43,128,227
3274,97,72,11,57,44,646,99.86,6.62,96.51,43,171
3275,46,45,11,175,38,786,63.66,11.41,90.92,40,185
3276,76,63,5,62,16,91,92.79,15.88,83.47,27,130
3277,42,56,4,94,14,355,54.76,3.48,98.44,485,157
3278,81,19,11,62,4,473,91.81,9.39,86.2,31,159
3279,34,73,6,110,6,770,57.3,10.69,88.09,135,48
3280,67,10,5,161,34,296,95.52,9.58,93.79,89,125
3281,46,20,2,68,5,890,87.35,11.56,93.11,255,38
3282,43,77,8,21,5,6,99.47,10.77,89.58,342,201
3283,37,10,8,83,18,444,88.54,15.69,90.11,414,77
3284,6,39,8,100,25,777,52.4,6.05,96.09,82,163
3285,97,16,4,86,14,165,59.72,14.83,96.5,118,247
3286,84,56,11,156,27,708,78.67,13.08,98.5,419,95
3287,30,13,6,79,29,940,65.12,17.35,83.22,166,93
3288,4,50,2,128,36,528,65.73,11.1,91.66,255,109
3289,7,1,11,106,6,635,50.49,14.25,90.11,364,8
3290,13,76,2,32,10,690,77.25,15.37,90.78,229,223
3291,25,45,10,85,2,63,52.91,6.22,99.24,113,146
3292,39,72,9,1,29,809,75.21,16.9,88.62,53,137
3293,84,30,2,43,7,683,56.44,8.9,94.61,472,268
3294,49,10,6,94,15,684,74.22,13.56,81.07,130,131
3295,65,4,2,8,30,127,78.13,3.98,85.02,299,58
3296,34,53,5,138,48,610,72.55,15.4,92.93,270,108
3297,33,51,4,109,11,973,75.81,10.75,88.45,500,56
3298,95,28,3,165,32,753,51.81,4.07,94.93,211,216
3299,94,5,11,184,20,778,85.37,15.26,97.61,37,222
3300,63,24,9,155,48,9,82.26,1.31,99.16,403,107
3301,62,62,2,39,16,41,89.52,9.73,80.9,42,294
3302,48,12,7,114,18,877,64.13,11.99,91.79,93,15
3303,51,21,2,83,7,846,66.31,15.0,99.03,148,107
3304,53,19,2,159,16,969,70.91,9.32,92.97,358,292
3305,51,41,2,73,8,999,90.93,4.23,95.44,275,194
3306,50,32,6,176,18,409,78.96,14.84,98.08,37,13
3307,46,64,10,127,19,822,62.57,1.01,81.03,231,97
3308,99,10,8,76,26,600,97.07,19.2,88.13,201,191
3309,89,2,3,170,17,358,62.17,11.79,92.48,437,45
3310,64,46,8,199,26,448,73.36,15.52,88.93,193,34
3311,18,56,6,37,39,263,87.41,3.04,93.48,292,187
3312,100,12,11,17,50,567,54.71,2.36,95.27,3,277
3313,74,80,10,118,28,173,71.5,2.04,89.8,83,194
3314,4,61,8,30,24,582,69.24,19.45,83.25,51,48
3315,8,55,6,168,32,44,86.71,14.68,93.94,415,102
3316,27,42,10,143,4,592,61.89,18.6,92.38,81,298
3317,36,24,7,110,28,607,66.17,7.72,99.75,112,183
3318,67,37,5,132,43,638,59.45,7.77,87.04,18,240
3319,81,20,6,137,5,658,76.39,1.83,85.23,373,77
3320,35,73,2,197,38,322,66.93,2.99,86.92,172,60
3321,60,31,5,167,11,661,83.14,3.33,94.53,159,275
3322,73,1,11,107,41,49,77.47,14.46,94.89,275,12
3323,60,67,6,140,40,56,92.05,18.25,91.24,411,32
3324,91,41,5,40,37,669,50.62,14.71,89.72,220,83
3325,96,42,4,170,10,904,98.21,10.57,90.91,425,113
3326,51,21,8,87,19,683,98.8,9.9,92.23,256,219
3327,80,7,10,22,11,255,90.15,12.68,90.02,496,191
3328,90,18,10,88,32,751,60.59,19.33,92.63,70,291
3329,88,33,11,151,48,915,95.59,13.89,91.29,196,290
3330,50,26,10,36,7,997,58.45,15.58,81.28,219,8
3331,12,71,4,151,30,249,98.81,14.09,95.7,345,80
3332,91,69,3,68,21,65,74.87,14.32,88.16,472,194
3333,57,76,3,16,27,703,58.53,0.73,91.67,378,7
3334,81,11,2,94,20,425,85.26,4.75,87.56,433,254
3335,16,31,4,70,44,79,89.45,10.07,93.54,41,295
3336,21,54,10,100,11,693,97.11,15.24,87.43,167,257
3337,84,75,2,187,16,994,94.11,1.01,94.47,327,286
3338,44,46,5,152,13,125,78.8,10.85,82.58,9,125
3339,88,44,11,36,40,970,91.24,12.16,97.68,21,12
3340,29,34,11,157,14,924,75.5,5.7,82.25,353,178
3341,59,66,3,200,49,252,60.58,19.21,90.77,465,85
3342,80,54,2,104,16,79,54.89,16.29,80.9,118,90
3343,55,23,6,31,30,928,82.16,15.84,90.63,483,147
3344,29,38,8,86,50,591,66.09,11.21,87.96,298,224
3345,65,2,9,113,31,705,88.19,10.21,94.72,387,112
3346,43,79,8,118,10,78,60.52,12.18,93.46,384,130
3347,1,4,6,189,38,712,77.43,14.71,89.87,352,143
3348,4,10,3,196,23,959,72.11,7.62,93.82,110,19
3349,56,45,6,101,43,463,69.89,19.81,82.79,153,118
3350,58,79,6,140,34,835,99.54,3.82,90.79,305,165
3351,30,15,3,155,34,764,63.2,18.3,88.52,364,126
3352,3,41,7,89,25,256,59.25,7.58,90.0,387,172
